"title","year","points","journal","doi","issn","eissn","author","affiliation","employment"
"A quantitative approach to weak compactness in Fréchet spaces and spaces C(X)",2013,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2013.01.055","0022-247X",,"Kąkol, Jerzy",TRUE,TRUE
"A quantitative version of Krein’s theorems for Fréchet spaces",2013,20,"ARCHIV DER MATHEMATIK","10.1007/s00013-013-0513-4","0003-889X",,"Kąkol, Jerzy",TRUE,TRUE
"A query language for WordNet-like lexical databases",2016,10,"International Journal of Intelligent Information and Database Systems","10.1504/IJIIDS.2016.075419","1751-5858",,"Kubis, Marek",TRUE,TRUE
"A remark on certain simultaneous divisibility sequences",2014,15,"Colloquium Mathematicum","10.4064/cm137-2-5","0010-1354",,"Barańczuk, Stefan",TRUE,TRUE
"A remark on certain simultaneous divisibility sequences",2014,15,"Colloquium Mathematicum","10.4064/cm137-2-5","0010-1354",,"Rzonsowski, Piotr",TRUE,TRUE
"A separable Fréchet space of almost universal disposition",2017,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2016.09.019","0022-1236",,"Kąkol, Jerzy",TRUE,TRUE
"A sharp threshold for collapse of the random triangular group",2017,35,"Groups Geometry and Dynamics","10.4171/GGD/417","1661-7207","1661-7215","Antoniuk, Sylwia",TRUE,TRUE
"A sharp threshold for collapse of the random triangular group",2017,35,"Groups Geometry and Dynamics","10.4171/GGD/417","1661-7207","1661-7215","Łuczak, Tomasz",TRUE,TRUE
"A short proof of Erdős’ conjecture for triple systems",2017,20,"ACTA MATHEMATICA HUNGARICA","10.1007/s10474-017-0692-8","0236-5294","1588-2632","Ruciński, Andrzej",TRUE,TRUE
"A strengthened analysis of a local algorithm for the minimum dominating set problem in planar graphs",2014,20,"INFORMATION PROCESSING LETTERS","10.1016/j.ipl.2013.11.008","0020-0190",,"Wawrzyniak, Wojciech",TRUE,TRUE
"A tale of stars and cliques",2018,35,"JOURNAL OF COMBINATORIAL THEORY SERIES A","10.1016/j.jcta.2018.06.009","0097-3165",,"Łuczak, Tomasz",TRUE,TRUE
"A tale of stars and cliques",2018,35,"JOURNAL OF COMBINATORIAL THEORY SERIES A","10.1016/j.jcta.2018.06.009","0097-3165",,"Polcyn-Lewandowska, Joanna",TRUE,TRUE
"A two-sample test based on cluster subspaces for equality of mean vectors in high dimension",2017,10,"Discussiones Mathematicae Probability and Statistics","10.7151/dmps.1195","1509-9423","2084-0381","Smaga, Łukasz",TRUE,TRUE
"A variant of gravitational classification",2014,12,"Biometrical Letters","10.2478/bile-2014-0001","1896-3811",,"Górecki, Tomasz",TRUE,TRUE
"A Weak Converse Theorem for Degree 2 $L$-Functions with Conductor 1",2017,30,"PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES","10.4171/PRIMS/53-2-5","0034-5318",,"Kaczorowski, Jerzy",TRUE,TRUE
"Abelian varieties over finitely generated fields and the conjecture of Geyer and Jarden on torsion",2013,30,"MATHEMATISCHE NACHRICHTEN","10.1002/mana.201200217","0025-584X",,"Gajda, Wojciech",TRUE,TRUE
"Abel’s Functional Equation and Eigenvalues of Composition Operators on Spaces of Real Analytic Functions",2015,35,"INTEGRAL EQUATIONS AND OPERATOR THEORY","10.1007/s00020-014-2175-4","0378-620X",,"Domański, Paweł",TRUE,TRUE
"Additive dimension and a theorem of Sanders",2015,20,"JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY","10.1017/S1446788715000324","1446-7887",,"Schoen, Tomasz",TRUE,TRUE
"Algebraic independence of logarithmic singularities of some complex functions",2014,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2013.09.005","0022-247X",,"Radziejewski, Maciej",TRUE,TRUE
"Algebraic separation and shadowing of arbitrary sets",2013,9,"Commentationes Mathematicae","10.14708/cm.v53i2.781","2080-1211",,"Grzybowski, Jerzy",TRUE,TRUE
"Algebraic separation and shadowing of arbitrary sets",2013,9,"Commentationes Mathematicae","10.14708/cm.v53i2.781","2080-1211",,"Urbański, Ryszard",TRUE,TRUE
"Algorithms for Relatively Cyclotomic Primes",2013,20,"FUNDAMENTA INFORMATICAE","10.3233/FI-2013-858","0169-2968",,"Grześkowiak, Maciej",TRUE,TRUE
"An Algebraic Sato-Tate Group and Sato-Tate Conjecture",2015,35,"INDIANA UNIVERSITY MATHEMATICS JOURNAL","10.1512/iumj.2015.64.5438","0022-2518",,"Banaszak, Grzegorz",TRUE,TRUE
"An Algorithmic Construction of Finite Elliptic Curves of Order Divisible by a Large Prime",2015,20,"FUNDAMENTA INFORMATICAE","10.3233/FI-2015-1161","0169-2968",,"Grześkowiak, Maciej",TRUE,TRUE
"An algorithmic study of relative cardinalities for interval-valued fuzzy sets",2016,40,"FUZZY SETS AND SYSTEMS","10.1016/j.fss.2015.11.007","0165-0114",,"Stachowiak, Anna",TRUE,TRUE
"An algorithmic study of relative cardinalities for interval-valued fuzzy sets",2016,40,"FUZZY SETS AND SYSTEMS","10.1016/j.fss.2015.11.007","0165-0114",,"Wygralak, Maciej",TRUE,TRUE
"An algorithmic study of relative cardinalities for interval-valued fuzzy sets",2016,40,"FUZZY SETS AND SYSTEMS","10.1016/j.fss.2015.11.007","0165-0114",,"Żywica, Patryk",TRUE,TRUE
"An application of functional multivariate regression model to multiclass classification",2017,15,"STATISTICS IN TRANSITION","10.21307/stattrans-2016-079","1234-7655","2450-0291","Krzyśko, Mirosław",TRUE,TRUE
"An application of functional multivariate regression model to multiclass classification",2017,15,"STATISTICS IN TRANSITION","10.21307/stattrans-2016-079","1234-7655","2450-0291","Smaga, Łukasz",TRUE,TRUE
"An application of LF-spaces to Silverman–Toeplitz type theorems",2017,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2017.06.062","0022-247X",,"Drewnowski, Lech",TRUE,
"An exponential-type upper bound for Folkman numbers",2017,35,"COMBINATORICA","10.1007/s00493-015-3298-1","0209-9683","1439-6912","Ruciński, Andrzej",TRUE,TRUE
"An extension of the classical distance correlation coefficient for multivariate functional data with application",2016,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Górecki, Tomasz",TRUE,TRUE
"An extension of the classical distance correlation coefficient for multivariate functional data with application",2016,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Krzyśko, Mirosław",TRUE,TRUE
"An extension of the classical distance correlation coefficient for multivariate functional data with application",2016,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Wołyński, Waldemar",TRUE,TRUE
"An improved upper bound on the density of universal random graphs",2015,30,"RANDOM STRUCTURES & ALGORITHMS","10.1002/rsa.20545","1042-9832",,"Ruciński, Andrzej",TRUE,TRUE
"Anagram-Free Colourings of Graphs",2018,25,"COMBINATORICS PROBABILITY & COMPUTING","10.1017/S096354831700027X","0963-5483","1469-2163","Łuczak, Tomasz",TRUE,TRUE
"Analysis of multivariate repeated measures data using a MANOVA model and principal components",2014,12,"Biometrical Letters","10.2478/bile-2014-0008","1896-3811",,"Krzyśko, Mirosław",TRUE,TRUE
"Analysis of multivariate repeated measures data using a MANOVA model and principal components",2014,12,"Biometrical Letters","10.2478/bile-2014-0008","1896-3811",,"Wołyński, Waldemar",TRUE,TRUE
"Analytic families of multilinear operators.",2014,45,"NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS","10.1016/j.na.2014.04.019","0362-546X",,"Mastyło, Mieczysław",TRUE,TRUE
"Analytic monoids and factorization problems",2017,25,"SEMIGROUP FORUM","10.1007/s00233-016-9778-9","0037-1912","1432-2137","Kaczorowski, Jerzy",TRUE,TRUE
"Another mean ergodic characterization of quasi-reflexive spaces",2013,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2013.04.058","0022-247X",,"Piszczek, Krzysztof",TRUE,TRUE
"Application of synchronous fluorescence spectroscopy with multivariate data analysis for determination of butter adulteration",2014,25,"INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","10.1111/ijfs.12594","0950-5423",,"Kowalewski, Wojciech",TRUE,TRUE
"Applications of Henstock-Kurzweil integrals on an unbounded interval to differential and integral equations",2018,20,"Mathematica Slovaca","10.1515/ms-2017-0082","0139-9918","1337-2211","Borkowski, Marcin",TRUE,TRUE
"Applications of Henstock-Kurzweil integrals on an unbounded interval to differential and integral equations",2018,20,"Mathematica Slovaca","10.1515/ms-2017-0082","0139-9918","1337-2211","Bugajewska, Daria",TRUE,TRUE
"Approximate counting of regular hypergraphs",2013,20,"INFORMATION PROCESSING LETTERS","10.1016/j.ipl.2013.07.018","0020-0190",,"Ruciński, Andrzej",TRUE,TRUE
"Approximate strong equilibria in job scheduling games with two uniformly related machines",2013,25,"DISCRETE APPLIED MATHEMATICS","10.1016/j.dam.2013.02.035","0166-218X",,"Witkowski, Marcin",TRUE,FALSE
"Approximate strong equilibria in job scheduling games with two uniformly related machines",2013,25,"DISCRETE APPLIED MATHEMATICS","10.1016/j.dam.2013.02.035","0166-218X",,"Witkowski, Łukasz",TRUE,
"Approximative full solutions of difference equations",2014,9,"INTERNATIONAL JOURNAL OF DIFFERENCE EQUATIONS",,"0973-6069",,"Migda, Janusz",TRUE,TRUE
"Approximative solutions of difference equations",2014,30,"Electronic Journal of Qualitative Theory of Differential Equations","10.14232/ejqtde.2014.1.13","1417-3875",,"Migda, Janusz",TRUE,TRUE
"Approximative solutions to difference equations of neutral type",2015,40,"APPLIED MATHEMATICS AND COMPUTATION","10.1016/j.amc.2015.06.097","0096-3003",,"Migda, Janusz",TRUE,TRUE
"Ascent and descent cones of ordered median block functions",2018,25,"OPTIMIZATION","10.1080/02331934.2018.1429432","0233-1934",,"Grzybowski, Jerzy",TRUE,TRUE
"Ascent and descent cones of ordered median block functions",2018,25,"OPTIMIZATION","10.1080/02331934.2018.1429432","0233-1934",,"Urbański, Ryszard",TRUE,TRUE
"Assortativity and clustering of sparse random intersection graphs",2013,25,"ELECTRONIC JOURNAL OF PROBABILITY","10.1214/EJP.v18-2277","1083-6489",,"Jaworski, Jerzy",TRUE,TRUE
"Asymptotic behavior of solutions of discrete Volterra equations",2016,11,"Opuscula Mathematica","10.7494/OpMath.2016.36.2.265","1232-9274",,"Migda, Janusz",TRUE,TRUE
"Asymptotic behaviour of factorization and projection constants",2017,35,"The Journal of Geometric Analysis","10.1007/s12220-016-9683-1","1050-6926","1559-002X","Mastyło, Mieczysław",TRUE,TRUE
"Asymptotic Properties of Solutions to Second-Order Difference Equations of Volterra Type",2018,25,"DISCRETE DYNAMICS IN NATURE AND SOCIETY","10.1155/2018/2368694","1026-0226",,"Migda, Janusz",TRUE,TRUE
"Asymptotically isometric and isometric copies of l1 in some Banach function lattices",2013,9,"Commentationes Mathematicae","10.14708/cm.v53i2.798","2080-1211",,"Mastyło, Mieczysław",FALSE,TRUE
"Asymptotically polynomial solutions of difference equations",2013,30,"Advances in Difference Equations","10.1186/1687-1847-2013-92","1687-1839","1687-1847","Migda, Janusz",TRUE,TRUE
"Asymptotically polynomial solutions to difference equations of neutral type",2016,40,"APPLIED MATHEMATICS AND COMPUTATION","10.1016/j.amc.2016.01.001","0096-3003",,"Migda, Janusz",TRUE,TRUE
"Automatic continuity and amenability in the non-commutative Schwartz space",2015,40,"Journal of Mathematical Analysis and Applications","10.1016/j.jmaa.2015.06.067","0022-247X",,"Piszczek, Krzysztof",TRUE,TRUE
"Avoider-Forcer Games on Hypergraphs with Small Rank",2014,25,"ELECTRONIC JOURNAL OF COMBINATORICS",,"1077-8926",,"Bednarska-Bzdęga, Małgorzata",TRUE,TRUE
"Banach-Saks Type and Gurarii Modulus of Convexity of Some Banach Sequence Spaces",2014,40,"Abstract and Applied Analysis","10.1155/2014/427382","1085-3375",,"Hudzik, Henryk",TRUE,TRUE
"Barrelled spaces with(out) separable quotients",2014,20,"BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY","10.1017/S0004972714000422","0004-9727",,"Kąkol, Jerzy",TRUE,TRUE
"Basic properties of multiplication and composition operators between distinct Orlicz spaces",2016,25,"Revista Matematica Complutense","10.1007/s13163-016-0214-1","1139-1138",,"Chawziuk, Tadeusz",TRUE,FALSE
"Basic properties of multiplication and composition operators between distinct Orlicz spaces",2016,25,"Revista Matematica Complutense","10.1007/s13163-016-0214-1","1139-1138",,"Hudzik, Henryk",FALSE,TRUE
"Benedykt Bornstein's philosophy of logic and mathematics",2014,20,"Axiomathes","10.1007/s10516-014-9237-8","1122-1151",,"Murawski, Roman",TRUE,TRUE
"Between theology and mathematics. Nicholas of Cusa's philosophy of mathematics",2016,15,"Studies in Logic, Grammar and Rhetoric","10.1515/slgr-2016-0006","0860-150X",,"Murawski, Roman",TRUE,TRUE
"Bezpieczeństwo wyborów elektronicznych",2014,8,"Zeszyty Naukowe Uniwersytetu Szczecińskiego Ekonomiczne Problemy Usług",,"1640-6818",,"Gogolewski, Marcin",TRUE,TRUE
"Bezpieczeństwo wyborów elektronicznych",2014,8,"Zeszyty Naukowe Uniwersytetu Szczecińskiego Ekonomiczne Problemy Usług",,"1640-6818",,"Ren, Michał",TRUE,TRUE
"Big monodromy theorem for abelian varieties over finitely generated fields",2013,25,"JOURNAL OF PURE AND APPLIED ALGEBRA","10.1016/j.jpaa.2012.06.010","0022-4049",,"Gajda, Wojciech",TRUE,TRUE
"Bilinear interpolation theorems and applications",2013,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2013.05.001","0022-1236",,"Mastyło, Mieczysław",TRUE,TRUE
"Bohnenblust–Hille inequalities for Lorentz spaces via interpolation",2016,40,"Analysis & PDE","10.2140/apde.2016.9.1235","1948-206X",,"Mastyło, Mieczysław",TRUE,TRUE
"Bootstrap methods for multivariate hypothesis testing",2017,15,"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","10.1080/03610918.2016.1248573","0361-0918",,"Smaga, Łukasz",TRUE,TRUE
"Boundary behavior of invariant functions on planar domains",2016,25,"Complex Variables and Elliptic Equations","10.1080/17476933.2015.1136823","1747-6933",,"Trybuła, Maria",TRUE,TRUE
"Bounded solutions of nonlinear discrete Volterra equations",2016,20,"Mathematica Slovaca","10.1515/ms-2016-0212","0139-9918",,"Migda, Janusz",TRUE,TRUE
"Bourgin–Yang versions of the Borsuk–Ulam theorem for p-toral groups",2017,25,"Journal of Fixed Point Theory and Applications","10.1007/s11784-016-0315-y","1661-7738","1661-7746","Marzantowicz, Wacław",TRUE,TRUE
"Calderón–Mityagin couples of Banach spaces related to decreasing functions",2017,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2017.01.016","0022-1236",,"Mastyło, Mieczysław",TRUE,TRUE
"Canonical correlation analysis for functional data",2013,12,"Biometrical Letters","10.2478/bile-2013-0020","1896-3811",,"Krzyśko, Mirosław",TRUE,TRUE
"Canonical correlation analysis for functional data",2013,12,"Biometrical Letters","10.2478/bile-2013-0020","1896-3811",,"Waszak, Łukasz",TRUE,FALSE
"Carathéodory solutions of Sturm-Liouville dynamic equation with a measure of noncompactness in Banach spaces",2015,20,"Central European Journal of Mathematics","10.1515/math-2015-0002","1895-1074",,"Kubiaczyk, Ireneusz",TRUE,TRUE
"Carathéodory solutions of Sturm-Liouville dynamic equation with a measure of noncompactness in Banach spaces",2015,20,"Central European Journal of Mathematics","10.1515/math-2015-0002","1895-1074",,"Sikorska-Nowak, Aneta",TRUE,TRUE
"Carleson measures and embeddings of abstract Hardy spaces into function lattices",2015,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2014.11.004","0022-1236",,"Mastyło, Mieczysław",TRUE,TRUE
"Characteristic of monotonicity of Orlicz function spaces equipped with the Orlicz norm",2013,9,"Commentationes Mathematicae",,"2080-1211",,"Foralewski, Paweł",TRUE,TRUE
"Characteristic of monotonicity of Orlicz function spaces equipped with the Orlicz norm",2013,9,"Commentationes Mathematicae",,"2080-1211",,"Hudzik, Henryk",TRUE,TRUE
"Characteristic of monotonicity of Orlicz function spaces equipped with the Orlicz norm",2013,9,"Commentationes Mathematicae",,"2080-1211",,"Kaczmarek, Radosław",TRUE,TRUE
"Characterization of commutative algebras embedded into the algebra of smooth operators",2017,30,"BULLETIN OF THE LONDON MATHEMATICAL SOCIETY","10.1112/blms.12010","0024-6093","1469-2120","Ciaś, Tomasz",TRUE,TRUE
"Characterization of composition operators with closed range for one-dimensional smooth symbols",2014,40,"JOURNAL OF FUNCTIONAL ANALYSIS","10.1016/j.jfa.2014.02.032","0022-1236",,"Przestacki, Adam",TRUE,TRUE
"Characterizing P-spaces X in terms of Cp(X)",2015,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Kąkol, Jerzy",TRUE,TRUE
"Charakterystyka przenikania kryzysu na rynek międzybankowy w Polsce na podstawie analizy 3-miesięcznych spreadów WIBOR-OIS oraz LIBOR-OIS dla dolara amerykańskiego i euro",2014,14,"PRZEGLĄD STATYSTYCZNY",,"0033-2372",,"Płuciennik, Piotr",TRUE,TRUE
"Classification of Commercial Apple Juices Based on Multivariate Analysis of Their Chemical Profiles",2016,25,"INTERNATIONAL JOURNAL OF FOOD PROPERTIES","10.1080/10942912.2016.1219367","1094-2912",,"Górecki, Tomasz",TRUE,TRUE
"Classification of time series using combination of DTW and LCSS dissimilarity measures",2018,15,"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","10.1080/03610918.2017.1280829","0361-0918",,"Górecki, Tomasz",TRUE,TRUE
"Classification problems based on regression models for multi-dimensional functional data",2015,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Górecki, Tomasz",TRUE,TRUE
"Classification problems based on regression models for multi-dimensional functional data",2015,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Krzyśko, Mirosław",TRUE,TRUE
"Classification problems based on regression models for multi-dimensional functional data",2015,15,"STATISTICS IN TRANSITION",,"1234-7655",,"Wołyński, Waldemar",TRUE,TRUE
"Closedness of the set of extreme points in Calderon-Lozanovskii",2014,30,"JOURNAL OF CONVEX ANALYSIS",,"0944-6532",,"Wisła, Marek",TRUE,TRUE
"Coburn-Simenenko theorem and invertibility of Toeplitz operators on the space of real analytic functions",2018,25,"JOURNAL OF OPERATOR THEORY","10.7900/jot.2017mar27.2144","0379-4024",,"Jasiczak, Michał",TRUE,TRUE
"Collapse of random triangular groups: a closer look",2014,30,"BULLETIN OF THE LONDON MATHEMATICAL SOCIETY","10.1112/blms/bdu034","0024-6093",,"Antoniuk, Sylwia",TRUE,TRUE
"Collapse of random triangular groups: a closer look",2014,30,"BULLETIN OF THE LONDON MATHEMATICAL SOCIETY","10.1112/blms/bdu034","0024-6093",,"Łuczak, Tomasz",TRUE,TRUE
"Collapsibility and Vanishing of Top Homology in Random Simplicial Complexes",2013,30,"DISCRETE & COMPUTATIONAL GEOMETRY","10.1007/s00454-012-9483-8","0179-5376",,"Łuczak, Tomasz",TRUE,TRUE
"Communication scheduling in data gathering networks with limited memory",2014,40,"APPLIED MATHEMATICS AND COMPUTATION","10.1016/j.amc.2014.03.024","0096-3003",,"Berlińska, Joanna",TRUE,TRUE
"Commutative subalgebras of the algebra of smooth operators",2016,25,"MONATSHEFTE FUR MATHEMATIK","10.1007/s00605-016-0903-3","0026-9255",,"Ciaś, Tomasz",TRUE,TRUE
"Compact covers and function spaces",2014,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2013.09.046","0022-247X",,"Kąkol, Jerzy",TRUE,TRUE
"Compactness of embeddings of function spaces on quasi-bounded domains and the distribution of eigenvalues of related elliptic oparators",2013,25,"PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY","10.1017/S0013091513000333","0013-0915",,"Skrzypczak, Leszek",TRUE,TRUE
"Compactness of embeddings of function spaces on quasi-bounded domains and the distribution of eigenvalues of related elliptic operators.Part II",2015,40,"JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","10.1016/j.jmaa.2015.03.072","0022-247X",,"Skrzypczak, Leszek",TRUE,TRUE
"Comparing load-balancing algorithms for MapReduce under Zipfian data skews",2018,35,"PARALLEL COMPUTING","10.1016/j.parco.2017.12.003","0167-8191",,"Berlińska, Joanna",TRUE,TRUE
"Comparison of kernel discriminant coordinates algorithms",2014,15,"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","10.1080/03610918.2013.827713","0361-0918",,"Krzyśko, Mirosław",TRUE,TRUE
"Comparison of kernel discriminant coordinates algorithms",2014,15,"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","10.1080/03610918.2013.827713","0361-0918",,"Wołyński, Waldemar",TRUE,TRUE
"Comparison of kernel discriminant coordinates algorithms",2014,15,"COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","10.1080/03610918.2013.827713","0361-0918",,"Waszak, Łukasz",TRUE,FALSE
"Completeness in Minkowski–Radström–Hörmander spaces",2015,25,"OPTIMIZATION","10.1080/02331934.2013.793330","0233-1934",,"Grzybowski, Jerzy",TRUE,TRUE
"Completeness in Minkowski–Radström–Hörmander spaces",2015,25,"OPTIMIZATION","10.1080/02331934.2013.793330","0233-1934",,"Przybycień, Hubert",TRUE,TRUE
"Complex interpolation of weighted Besov and Lizorkin-Triebel spaces",2014,25,"ACTA MATHEMATICA SINICA-ENGLISH SERIES","10.1007/s10114-014-2762-y","1439-8516",,"Skrzypczak, Leszek",TRUE,TRUE
"Composition and multiplication operators between Orlicz function spaces",2016,30,"JOURNAL OF INEQUALITIES AND APPLICATIONS","10.1186/s13660-016-0972-9","1025-5834","1029-242X","Hudzik, Henryk",TRUE,TRUE
